uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off,cluster
EU,1057217,Bachelor of Science (Clothing Textile & Interior Design),,34.401,31.335,15
EU,1057223,Bachelor of Science (Ecotourism & Hospitality Management),,36.152,35.91,2
EU,1057230,Bachelor of Science (Instrumentation & Control Engineering),,29.534,40.434,9
EU,1057238,Bachelor of Psychology,,33.331,32.948,3
EU,1057239,Bachelor of Science (Community Development),,30.422,30.789,20
EU,1057249,Bachelor of Procurement and Supply Chain Management,,40.529,39.128,7
EU,1057292,Bachelor of Science (Geography),,34.31,32.97,21
EU,1057293,Bachelor of Science (Animal Science),,33.964,31.633,20
EU,1057304,Bachelor of Arts (Gender),,31.129,32.855,3
EU,1057342,Bachelor of Arts (History & Economics),,31.166,32.366,7
EU,1057345,Bachelor of Science (Dairy Technology & Management),,27.542,28.831,20
EU,1057346,Bachelor of Science (Agriculture & Human Ecology Extension),,29.516,29.494,20
EU,1057347,Bachelor of Science (Applied Aquatic Science),,24.779,25,20
EU,1057348,Bachelor of Science (Natural Resources Management),,31.145,28.153,20
EU,1057402,"Bachelor of Science (Dry Land, Agriculture & Enterprise Development)",,29.887,27.941,20
EU,1057417,Bachelor of Science (Agricultural Education & Extension),,37.973,37.491,20
EU,1057419,Bachelor of Science (Integrated Forest Resources Management),,23,25,20
EU,1057622,Bachelor of Arts in History & International Studies,,34.605,35.049,19
EU,1057687,Bachelor of Agribusiness Management,,37.789,36.971,12
EU,1057689,Bachelor of Science in Animal Health Management,,36.691,34.581,20
EU,1057906,Bachelor of Arts (Sociology & Religion),,23,25,3
JKUAT,1249103,Bachelor of Quantity Surveying,,44.5,44.409,10
JKUAT,1249107,Bachelor of Science (Actuarial Science),,43.073,44.345,7
JKUAT,1249108,Bachelor of Science (Industrial Chemistry),,41.346,40.499,9
JKUAT,1249111,Bachelor of Science (Biological Sciences),,28.357,,18
JKUAT,1249114,Bachelor of Science (Analytical Chemistry),,37.654,41.22,9
JKUAT,1249115,Bachelor of Science (Computer Science),,44.595,44.206,11
JKUAT,1249116,Bachelor of Science Civil Engineering,,44.625,45.192,9
JKUAT,1249117,Bachelor of Science (Electrical and Electronic Engineering),,44.361,45.274,9
JKUAT,1249118,Bachelor of Science (Mechanical Engineering),,44.317,44.1,9
JKUAT,1249120,Bachelor of Science (B.sc),,31.647,27.333,13
JKUAT,1249121,Bachelor of Science (Agricultural and Biosystems Engineering),,40.834,40.428,9
JKUAT,1249122,Bachelor of Science (Agriculture),,34.328,32.621,20
JKUAT,1249124,Bachelor of Science (Food Science and Technology),,40.052,40.647,20
JKUAT,1249129,Bachelor of Pharmacy,,44.669,45.044,18
JKUAT,1249131,Bachelor of Medicine and Bachelor of Surgery,,44.986,45.527,18
JKUAT,1249133,Bachelor of Commerce,,41.373,41.816,7
JKUAT,1249134,Bachelor of Laws (LLB),,42.429,,1
JKUAT,1249140,Bachelor of Science (Marine Engineering),,42.236,44.012,9
JKUAT,1249146,Bachelor of Economics,,42.098,42.004,7
JKUAT,1249147,Bachelor of Science (Genomic Sciences),,36.177,33.892,18
JKUAT,1249149,Bachelor of Science (Public Administration and Leadership),,29.331,,7
JKUAT,1249163,Bachelor of Science Statistics,,41.944,41.563,7
JKUAT,1249176,Bachelor of Construction Management,,42.437,42.783,10
JKUAT,1249183,Bachelor of Journalism,,39.913,37.624,3
JKUAT,1249185,Bachelor of Science Horticulture,,34.045,33.882,20
JKUAT,1249189,Bachelor of Human Resource Management,,39.782,40.251,3
JKUAT,1249194,Bachelor of Science (Medical Laboratory Sciences),,41.649,43.757,18
JKUAT,1249197,Bachelor of Science (Telecommunication and Information Engineering),,44.475,44.738,9
JKUAT,1249208,Bachelor of Science (Computer Technology),,42.074,42.167,11
JKUAT,1249213,Bachelor of Environmental Science,,39.088,36.933,20
JKUAT,1249226,Bachelor of Science (Biotechnology),,37.849,41.27,18
JKUAT,1249231,Bachelor of Science (Control and Instrumentation),,40.419,41.509,9
JKUAT,1249232,Bachelor of Science (Information Technology),,42.126,42.9,9
